Sample Type,File Name,Order
Blank,Blank_Solvent26,443
Unknown,33661,444
Unknown,31936,445
Unknown,33331,446
Unknown,53087,447
Unknown,,448
Unknown,30106,449
Unknown,28149,450
Unknown,30648,451
Unknown,49941,452
Unknown,,453
Unknown,,454
Unknown,Blank_no_inj37,455
QC,QC_Mix10,456
Unknown,111282,457
Unknown,60136,458
Unknown,92192,459
Unknown,38204,460
Unknown,,461
Unknown,30096,462
Unknown,28112,463
Unknown,30281,464
Unknown,28360,465
Blank,Blank_no_inj38,466
Blank,Blank_Solvent27,467
Unknown,31863,468
Unknown,61356,469
Unknown,40412,470
Unknown,83616,471
Unknown,30206,472
Unknown,30572,473
Unknown,30697,474
Unknown,30579,475
Blank,Blank_no_inj39,476
Blank,Blank_Solvent28,477
Unknown,93742,478
Unknown,98559,479
Unknown,40249,480
Unknown,38046,481
Unknown,30126,482
Unknown,30524,483
Unknown,30408,484
Unknown,30290,485
Blank,Blank_no_inj40,486
Blank,Blank_Solvent29,487
Unknown,75409,488
Unknown,32821,489
Unknown,41690,490
Unknown,49559,491
Unknown,30188,492
Unknown,30652,493
Unknown,30454,494
Unknown,30529,495
Blank,Blank_no_inj41,496
QC,QC_Mix11,497
Unknown,52820,498
Unknown,41710,499
Unknown,44871,500
Unknown,44908,501
Unknown,48616,502
Unknown,49916,503
Unknown,30450,504
Unknown,30122,505
Blank,Blank_no_inj42,506
Blank,Blank_Solvent30,507
